"geneNames" "geneIDs" "feature" "id" "fc" "pval" "qval"
"25" "PRKY" "CHS.59202" "transcript" "311200" 3.3293596209826 5.17039744352132e-11 1.0153006051894e-07
"26" "DDX3Y" "CHS.59264" "transcript" "311302" 3.16981100971242 1.72154179800543e-10 3.25053576721857e-07
"27" "TXLNGY" "CHS.59301" "transcript" "311530" 2.59454602894514 3.32062377594866e-10 6.03763194106932e-07
"28" "EIF1AY" "CHS.59306" "transcript" "311563" 3.65073650325962 6.24643448077222e-10 1.09517843403596e-06
"29" "DDX3Y" "CHS.59264" "transcript" "311299" 2.7920588270621 8.60283622117208e-10 1.456311847482e-06
"30" "DDX3Y" "CHS.59264" "transcript" "311308" 3.25282444239847 1.5177161749591e-09 2.48359074870308e-06
"31" "DDX3Y" "CHS.59264" "transcript" "311306" 3.25907515429402 2.07653338968328e-09 3.28842506988166e-06
"32" "LINC00278" "CHS.59183" "transcript" "311142" 2.86158294747679 2.19764340059214e-09 3.37145968193342e-06
"33" "XIST" "CHS.58287" "transcript" "306245" 0.136009966705721 6.5263252579939e-09 9.7087987747102e-06
"34" "UTY" "CHS.59266" "transcript" "311314" 4.02471058688288 7.87382403721892e-09 1.13688755775045e-05
"35" "TMSB4Y" "CHS.59268" "transcript" "311431" 2.32558269426806 2.57765884192906e-08 3.61549793908519e-05
"36" "XIST" "CHS.58287" "transcript" "306249" 0.110642705125326 2.70894107146091e-08 3.69409264111553e-05
"37" "XIST" "CHS.58287" "transcript" "306257" 0.17523586196205 6.93408324092815e-08 9.20021660712553e-05
"38" "ZFY" "CHS.59181" "transcript" "311136" 2.24225691414479 2.73248008442195e-07 0.000353007663959059
"39" "CACNA2D3" "CHS.37444" "transcript" "210261" 2.48515713322723 4.40598499906741e-07 0.000554611834805686
"40" "PRKY" "CHS.59202" "transcript" "311197" 2.06316694331734 1.14327857192453e-06 0.00140314579132298
"41" "ST6GAL1" "CHS.39212" "transcript" "220241" 0.198036176741475 1.21274880737765e-06 0.00145210401101911
"42" "ZFY" "CHS.59181" "transcript" "311131" 2.13053126576375 1.48943996824968e-06 0.00174094254574556
"43" "LOC105377225" "CHS.59310" "transcript" "311570" 2.32335452263245 2.37569570682439e-06 0.00267209906627121
"44" "DDX3Y" "CHS.59264" "transcript" "311294" 2.22683068038156 2.39493927556289e-06 0.00267209906627121
"45" "PRKY" "CHS.59202" "transcript" "311199" 2.31869203351209 5.48237914999028e-06 0.00598091016069606
"46" "LOC103091866" "CHS.2815" "transcript" "17257" 0.772985740026408 7.13499665017103e-06 0.00761459251196079
"47" "AP000350.5" "CHS.35383" "transcript" "197472" 0.478893058392601 7.62867414216828e-06 0.00796823129760266
"48" "RPS4Y1" "CHS.59180" "transcript" "311125" 2.07526861965911 8.11299618974637e-06 0.0082975668530631
"49" "NCF4" "CHS.35745" "transcript" "199759" 3.53257916633751 8.64053563320866e-06 0.00865675867970366
"50" "MAFB" "CHS.33520" "transcript" "188491" 1.78580811564452 9.54411867959415e-06 0.0092094693602908
"51" "LOC107985558" "CHS.35384" "transcript" "197473" 0.38812917704475 9.56740278201806e-06 0.0092094693602908
"52" "MORC2" "CHS.35606" "transcript" "198855" 3.35352910425977 1.24515762023325e-05 0.0117552457485559
"53" "BAX" "CHS.27212" "transcript" "157007" 0.545111828945367 1.57016198545357e-05 0.0145438475829974
"54" "H1F0" "CHS.35792" "transcript" "200096" 1.48172668058759 1.6788536664647e-05 0.0150271284681639
"55" "CD74" "CHS.44393" "transcript" "244643" 1.52178949976823 1.68355753635829e-05 0.0150271284681639
"56" "MTMR10" "CHS.16905" "transcript" "95936" 0.396245072348403 1.98309497623228e-05 0.0173846604594991
"57" "DDX17" "CHS.35822" "transcript" "200427" 0.887512241599158 2.79891653588438e-05 0.0241060369437958
"58" "ELL" "CHS.26098" "transcript" "149288" 2.89373407802231 3.52057427746022e-05 0.0297986262808754
"59" "FHL3" "CHS.1261" "transcript" "8014" 2.11358898205059 4.05084020287383e-05 0.0337057368202512
"60" "UTY" "CHS.59266" "transcript" "311424" 1.84524114177055 4.13536928536296e-05 0.0338355914928397
"61" "TCEB1" "CHS.53707" "transcript" "283595" 1.82477258715225 4.601847238761e-05 0.0370350630565992
"62" "KCTD12" "CHS.14335" "transcript" "82880" 1.34257211855236 5.06304696770155e-05 0.0400895325384523
"63" "ENO1" "CHS.303" "transcript" "2105" 2.55443693914857 5.6608303102168e-05 0.0441113462839942
"64" "ZNF408" "CHS.8595" "transcript" "49966" 2.75606274985048 5.87541115633083e-05 0.0450680757010302
